escenario;variante;rep;esWarmup;inanicion;ordenes;tiempoSeg;throughput;latenciaPromMs;escrituras;escPromMs;escP95Ms;escMaxMs;lecturas;lecPromMs;lecP95Ms;lecMaxMs;lecturasPorSeg
L0 - Sin lectores (referencia);SemaforosLectores;0;1;0;20000;0.642;31173;0.361;60000;0.0006;0.0004;1.04;0;0.0000;0.0000;0.00;0
L0 - Sin lectores (referencia);SemaforosLectores;1;0;0;20000;0.630;31744;0.310;60000;0.0005;0.0004;0.67;0;0.0000;0.0000;0.00;0
L0 - Sin lectores (referencia);SemaforosLectores;2;0;0;20000;0.668;29944;0.359;60000;0.0006;0.0004;0.96;0;0.0000;0.0000;0.00;0
L0 - Sin lectores (referencia);SemaforosLectores;3;0;0;20000;0.617;32409;0.318;60000;0.0004;0.0004;0.71;0;0.0000;0.0000;0.00;0
L0 - Sin lectores (referencia);SemaforosJusta;0;1;0;20000;0.616;32462;0.395;60000;0.0006;0.0007;0.75;0;0.0000;0.0000;0.00;0
L0 - Sin lectores (referencia);SemaforosJusta;1;0;0;20000;0.619;32292;0.419;60000;0.0007;0.0009;0.72;0;0.0000;0.0000;0.00;0
L0 - Sin lectores (referencia);SemaforosJusta;2;0;0;20000;0.616;32492;0.409;60000;0.0006;0.0008;0.71;0;0.0000;0.0000;0.00;0
L0 - Sin lectores (referencia);SemaforosJusta;3;0;0;20000;0.616;32482;0.374;60000;0.0006;0.0008;0.73;0;0.0000;0.0000;0.00;0
L0 - Sin lectores (referencia);MonitoresLectores;0;1;0;20000;0.610;32813;0.438;60000;0.0005;0.0005;0.70;0;0.0000;0.0000;0.00;0
L0 - Sin lectores (referencia);MonitoresLectores;1;0;0;20000;0.639;31318;0.233;60000;0.0004;0.0004;0.66;0;0.0000;0.0000;0.00;0
L0 - Sin lectores (referencia);MonitoresLectores;2;0;0;20000;0.639;31306;0.341;60000;0.0004;0.0004;0.70;0;0.0000;0.0000;0.00;0
L0 - Sin lectores (referencia);MonitoresLectores;3;0;0;20000;0.639;31283;0.349;60000;0.0005;0.0005;0.70;0;0.0000;0.0000;0.00;0
L0 - Sin lectores (referencia);MonitoresJusta;0;1;0;20000;0.639;31293;0.295;60000;0.0005;0.0005;0.70;0;0.0000;0.0000;0.00;0
L0 - Sin lectores (referencia);MonitoresJusta;1;0;0;20000;0.610;32790;0.295;60000;0.0005;0.0004;0.69;0;0.0000;0.0000;0.00;0
L0 - Sin lectores (referencia);MonitoresJusta;2;0;0;20000;0.613;32625;0.319;60000;0.0005;0.0004;0.78;0;0.0000;0.0000;0.00;0
L0 - Sin lectores (referencia);MonitoresJusta;3;0;0;20000;0.609;32864;0.339;60000;0.0005;0.0004;0.71;0;0.0000;0.0000;0.00;0
L1 - Ratio 1:1 (6 lectores, 1 ms);SemaforosLectores;0;1;0;20000;0.695;28768;0.263;60000;0.0008;0.0004;1.10;252;0.0766;0.1393;1.10;362
L1 - Ratio 1:1 (6 lectores, 1 ms);SemaforosLectores;1;0;0;20000;0.643;31082;0.407;60000;0.0009;0.0005;1.01;240;0.0850;0.2056;1.41;373
L1 - Ratio 1:1 (6 lectores, 1 ms);SemaforosLectores;2;0;0;20000;0.627;31896;0.375;60000;0.0009;0.0004;1.01;234;0.0838;0.2064;1.13;373
L1 - Ratio 1:1 (6 lectores, 1 ms);SemaforosLectores;3;0;0;20000;0.686;29142;0.428;60000;0.0008;0.0004;1.09;264;0.0903;0.1448;1.07;385
L1 - Ratio 1:1 (6 lectores, 1 ms);SemaforosJusta;0;1;0;20000;0.623;32119;0.453;60000;0.0011;0.0009;1.02;228;0.1419;0.2904;1.14;366
L1 - Ratio 1:1 (6 lectores, 1 ms);SemaforosJusta;1;0;0;20000;0.635;31479;0.410;60000;0.0012;0.0009;0.96;228;0.1525;0.2646;1.24;359
L1 - Ratio 1:1 (6 lectores, 1 ms);SemaforosJusta;2;0;0;20000;0.664;30119;0.422;60000;0.0011;0.0012;0.92;314;0.1047;0.2056;1.09;473
L1 - Ratio 1:1 (6 lectores, 1 ms);SemaforosJusta;3;0;0;20000;0.666;30032;0.402;60000;0.0011;0.0010;0.94;240;0.1295;0.2289;1.11;360
L1 - Ratio 1:1 (6 lectores, 1 ms);MonitoresLectores;0;1;0;20000;0.612;32674;0.442;60000;0.0009;0.0005;0.99;228;0.0870;0.2248;1.10;372
L1 - Ratio 1:1 (6 lectores, 1 ms);MonitoresLectores;1;0;0;20000;0.628;31869;0.291;60000;0.0009;0.0005;0.98;240;0.0921;0.2011;1.10;382
L1 - Ratio 1:1 (6 lectores, 1 ms);MonitoresLectores;2;0;0;20000;0.618;32368;0.425;60000;0.0009;0.0005;0.98;240;0.0845;0.2754;1.09;388
L1 - Ratio 1:1 (6 lectores, 1 ms);MonitoresLectores;3;0;0;20000;0.614;32581;0.318;60000;0.0009;0.0004;0.98;234;0.0866;0.2207;1.10;381
L1 - Ratio 1:1 (6 lectores, 1 ms);MonitoresJusta;0;1;0;20000;0.616;32481;0.379;60000;0.0008;0.0005;0.84;228;0.1540;0.6185;1.37;370
L1 - Ratio 1:1 (6 lectores, 1 ms);MonitoresJusta;1;0;0;20000;0.653;30606;0.300;60000;0.0007;0.0004;0.84;240;0.1642;0.8316;1.61;367
L1 - Ratio 1:1 (6 lectores, 1 ms);MonitoresJusta;2;0;0;20000;0.620;32266;0.322;60000;0.0008;0.0004;0.92;233;0.1637;0.6699;1.18;376
L1 - Ratio 1:1 (6 lectores, 1 ms);MonitoresJusta;3;0;0;20000;0.613;32621;0.306;60000;0.0008;0.0005;0.82;234;0.1602;0.6639;1.61;382
L2 - Ratio 4:1 (24 lectores, 1 ms);SemaforosLectores;0;1;0;20000;0.667;29964;0.287;60000;0.0014;0.0004;1.10;984;0.0674;0.1633;1.11;1474
L2 - Ratio 4:1 (24 lectores, 1 ms);SemaforosLectores;1;0;0;20000;0.660;30301;0.405;60000;0.0013;0.0005;0.97;960;0.0700;0.1646;1.23;1454
L2 - Ratio 4:1 (24 lectores, 1 ms);SemaforosLectores;2;0;0;20000;0.694;28810;0.355;60000;0.0017;0.0006;1.59;1128;0.0825;0.3586;2.18;1625
L2 - Ratio 4:1 (24 lectores, 1 ms);SemaforosLectores;3;0;0;20000;0.697;28702;0.397;60000;0.0015;0.0005;1.31;1046;0.0674;0.1557;1.08;1501
L2 - Ratio 4:1 (24 lectores, 1 ms);SemaforosJusta;0;1;0;20000;0.697;28700;0.513;60000;0.0020;0.0012;1.51;1080;0.2826;0.5877;1.56;1550
L2 - Ratio 4:1 (24 lectores, 1 ms);SemaforosJusta;1;0;0;20000;0.719;27814;0.512;60000;0.0020;0.0009;1.06;1103;0.2688;0.6675;1.24;1534
L2 - Ratio 4:1 (24 lectores, 1 ms);SemaforosJusta;2;0;0;20000;0.746;26823;0.437;60000;0.0019;0.0008;1.10;1128;0.2756;0.7109;1.21;1513
L2 - Ratio 4:1 (24 lectores, 1 ms);SemaforosJusta;3;0;0;20000;0.814;24584;0.565;60000;0.0038;0.0009;10.28;1248;0.4436;0.9516;10.41;1534
L2 - Ratio 4:1 (24 lectores, 1 ms);MonitoresLectores;0;1;0;20000;0.751;26616;0.391;60000;0.0016;0.0005;1.14;1296;0.0658;0.1888;1.21;1725
L2 - Ratio 4:1 (24 lectores, 1 ms);MonitoresLectores;1;0;0;20000;0.730;27396;0.411;60000;0.0015;0.0005;1.21;1056;0.0693;0.1792;1.30;1447
L2 - Ratio 4:1 (24 lectores, 1 ms);MonitoresLectores;2;0;0;20000;0.709;28210;0.312;60000;0.0017;0.0005;1.25;1032;0.0723;0.1873;1.14;1456
L2 - Ratio 4:1 (24 lectores, 1 ms);MonitoresLectores;3;0;0;20000;0.719;27834;0.458;60000;0.0017;0.0005;1.25;1104;0.0667;0.1873;1.32;1537
L2 - Ratio 4:1 (24 lectores, 1 ms);MonitoresJusta;0;1;0;20000;0.780;25642;0.448;60000;0.0017;0.0009;1.03;1130;0.5501;1.5962;2.75;1449
L2 - Ratio 4:1 (24 lectores, 1 ms);MonitoresJusta;1;0;0;20000;0.721;27753;0.495;60000;0.0024;0.0027;0.83;1080;0.7533;2.1521;2.90;1499
L2 - Ratio 4:1 (24 lectores, 1 ms);MonitoresJusta;2;0;0;20000;0.750;26653;0.505;60000;0.0020;0.0023;0.89;1104;0.6402;1.5770;2.79;1471
L2 - Ratio 4:1 (24 lectores, 1 ms);MonitoresJusta;3;0;0;20000;0.732;27310;0.481;60000;0.0021;0.0031;1.01;1104;0.6436;1.6537;2.97;1508
L3 - Ratio 8:1 (48 lectores, 1 ms);SemaforosLectores;0;1;0;20000;0.725;27602;0.465;60000;0.0030;0.0004;1.75;2304;0.0849;0.1858;1.48;3180
L3 - Ratio 8:1 (48 lectores, 1 ms);SemaforosLectores;1;0;0;20000;0.758;26382;0.432;60000;0.0021;0.0004;1.17;2256;0.0564;0.1674;1.15;2976
L3 - Ratio 8:1 (48 lectores, 1 ms);SemaforosLectores;2;0;0;20000;0.743;26918;0.409;60000;0.0036;0.0004;1.75;2170;0.1286;0.1945;1.85;2921
L3 - Ratio 8:1 (48 lectores, 1 ms);SemaforosLectores;3;0;0;20000;0.724;27632;0.346;60000;0.0024;0.0004;1.15;2208;0.0886;0.1808;1.93;3051
L3 - Ratio 8:1 (48 lectores, 1 ms);SemaforosJusta;0;1;0;20000;0.738;27099;0.508;60000;0.0029;0.0010;1.15;2160;0.4587;1.1073;1.69;2927
L3 - Ratio 8:1 (48 lectores, 1 ms);SemaforosJusta;1;0;0;20000;0.750;26655;0.547;60000;0.0030;0.0011;1.65;2304;0.4234;1.1483;2.80;3071
L3 - Ratio 8:1 (48 lectores, 1 ms);SemaforosJusta;2;0;0;20000;0.737;27155;0.498;60000;0.0030;0.0009;1.16;2208;0.4614;1.2486;1.43;2998
L3 - Ratio 8:1 (48 lectores, 1 ms);SemaforosJusta;3;0;0;20000;0.729;27442;0.512;60000;0.0028;0.0009;1.30;2256;0.3905;0.7812;1.73;3095
L3 - Ratio 8:1 (48 lectores, 1 ms);MonitoresLectores;0;1;0;20000;0.725;27578;0.493;60000;0.0023;0.0005;1.68;2208;0.0587;0.1848;1.16;3045
L3 - Ratio 8:1 (48 lectores, 1 ms);MonitoresLectores;1;0;0;20000;0.731;27363;0.453;60000;0.0025;0.0006;1.97;2237;0.0576;0.1758;1.30;3061
L3 - Ratio 8:1 (48 lectores, 1 ms);MonitoresLectores;2;0;0;20000;0.720;27782;0.435;60000;0.0024;0.0005;1.79;2160;0.0633;0.1868;1.31;3000
L3 - Ratio 8:1 (48 lectores, 1 ms);MonitoresLectores;3;0;0;20000;0.720;27774;0.493;60000;0.0025;0.0006;1.65;2191;0.0598;0.1808;1.16;3043
L3 - Ratio 8:1 (48 lectores, 1 ms);MonitoresJusta;0;1;0;20000;0.801;24970;0.523;60000;0.0074;0.0110;1.06;2367;2.3445;5.1842;7.39;2955
L3 - Ratio 8:1 (48 lectores, 1 ms);MonitoresJusta;1;0;0;20000;0.796;25133;0.533;60000;0.0062;0.0094;1.14;2384;2.0530;4.5819;7.40;2996
L3 - Ratio 8:1 (48 lectores, 1 ms);MonitoresJusta;2;0;0;20000;0.782;25574;0.537;60000;0.0068;0.0110;1.34;2352;2.2529;5.0193;7.79;3008
L3 - Ratio 8:1 (48 lectores, 1 ms);MonitoresJusta;3;0;0;20000;0.761;26270;0.528;60000;0.0059;0.0095;0.95;2304;2.0657;4.8858;9.14;3026
L4 - Presion maxima (48 lectores, 0 ms);SemaforosLectores;0;1;1;20000;;;;;;;;;;;;
L4 - Presion maxima (48 lectores, 0 ms);SemaforosJusta;0;1;0;20000;3.847;5199;2.844;60000;0.2135;0.3775;9.75;575736;0.2939;0.5323;12.48;149655
L4 - Presion maxima (48 lectores, 0 ms);SemaforosJusta;1;0;0;20000;3.898;5131;2.829;60000;0.2151;0.3568;43.77;592214;0.2894;0.5027;63.28;151928
L4 - Presion maxima (48 lectores, 0 ms);SemaforosJusta;2;0;0;20000;3.760;5320;2.736;60000;0.2033;0.3525;6.03;606429;0.2737;0.4824;6.62;161301
L4 - Presion maxima (48 lectores, 0 ms);SemaforosJusta;3;0;0;20000;3.755;5326;2.728;60000;0.2038;0.3491;6.13;612732;0.2722;0.4594;6.15;163173
L4 - Presion maxima (48 lectores, 0 ms);MonitoresLectores;0;1;1;20000;;;;;;;;;;;;
L4 - Presion maxima (48 lectores, 0 ms);MonitoresJusta;0;1;0;20000;1.455;13745;0.860;60000;0.0541;0.3268;13.64;18909;3.6450;17.4668;115.59;12995
L4 - Presion maxima (48 lectores, 0 ms);MonitoresJusta;1;0;0;20000;1.390;14388;0.923;60000;0.0551;0.3125;4.44;14320;4.6101;18.1463;62.65;10302
L4 - Presion maxima (48 lectores, 0 ms);MonitoresJusta;2;0;0;20000;1.367;14633;0.900;60000;0.0539;0.3539;2.92;10903;5.9560;23.3965;109.47;7977
L4 - Presion maxima (48 lectores, 0 ms);MonitoresJusta;3;0;0;20000;1.441;13877;0.921;60000;0.0591;0.3175;4.59;15673;4.3720;17.7036;75.20;10875
